ruc,anio,gore,n_contratos,n_gores_anio
20408061726,2022,ANCASH,1,1
20408130396,2022,ANCASH,1,1
20408135517,2022,ANCASH,1,1
20445685438,2022,ANCASH,1,1
20445700178,2022,ANCASH,1,1
20445710211,2022,ANCASH,1,1
20461192077,2022,ANCASH,2,1
20477160710,2022,ANCASH,2,1
20477886095,2022,ANCASH,1,1
20478157976,2022,ANCASH,1,1
20481520585,2022,ANCASH,1,1
20481605491,2022,ANCASH,1,1
20486290910,2022,ANCASH,1,1
20486397714,2022,ANCASH,1,2
20486960401,2022,ANCASH,1,4
20487110141,2022,ANCASH,1,1
20488252578,2022,ANCASH,1,1
20488351398,2022,ANCASH,1,1
20489585325,2022,ANCASH,1,2
20504220461,2022,ANCASH,1,1
20506003351,2022,ANCASH,1,2
20507991662,2022,ANCASH,1,2
20516256096,2022,ANCASH,1,1
20516419572,2022,ANCASH,1,1
20523814363,2022,ANCASH,1,1
20528901361,2022,ANCASH,1,2
20530592520,2022,ANCASH,5,1
20530706398,2022,ANCASH,3,1
20530862764,2022,ANCASH,2,1
20530933882,2022,ANCASH,2,1
20530990681,2022,ANCASH,1,1
20531055722,2022,ANCASH,1,2
20531064047,2022,ANCASH,1,1
20531065019,2022,ANCASH,1,1
20531750749,2022,ANCASH,1,1
20531820542,2022,ANCASH,1,1
20531866453,2022,ANCASH,1,1
20531897413,2022,ANCASH,1,1
20531927851,2022,ANCASH,1,1
20532002819,2022,ANCASH,2,2
20532033293,2022,ANCASH,1,1
20533621768,2022,ANCASH,1,1
20533675183,2022,ANCASH,1,1
20533693327,2022,ANCASH,1,1
20533729615,2022,ANCASH,1,1
20533744509,2022,ANCASH,2,1
20533751386,2022,ANCASH,1,1
20533788891,2022,ANCASH,1,1
20533974415,2022,ANCASH,2,1
20534010151,2022,ANCASH,1,1
20534013923,2022,ANCASH,2,1
20534016949,2022,ANCASH,1,1
20534022914,2022,ANCASH,1,1
20534027126,2022,ANCASH,1,1
20534040068,2022,ANCASH,1,1
20534098732,2022,ANCASH,1,1
20534121734,2022,ANCASH,1,1
20534145757,2022,ANCASH,1,1
20534157500,2022,ANCASH,2,1
20534158069,2022,ANCASH,2,1
20534166240,2022,ANCASH,1,1
20534489685,2022,ANCASH,2,1
20539979885,2022,ANCASH,1,1
20541616382,2022,ANCASH,1,1
20541769537,2022,ANCASH,1,1
20542049228,2022,ANCASH,7,2
20542073013,2022,ANCASH,1,1
20542083329,2022,ANCASH,2,1
20542149362,2022,ANCASH,1,1
20542191059,2022,ANCASH,2,2
20542438984,2022,ANCASH,1,1
20549761608,2022,ANCASH,1,1
20568223307,2022,ANCASH,1,1
20569181756,2022,ANCASH,3,1
20571131464,2022,ANCASH,3,1
20571135885,2022,ANCASH,1,2
20571153867,2022,ANCASH,2,1
20571184151,2022,ANCASH,1,1
20571250552,2022,ANCASH,1,1
20571273501,2022,ANCASH,2,1
20571309891,2022,ANCASH,3,1
20571395283,2022,ANCASH,4,1
20571395364,2022,ANCASH,1,1
20571420067,2022,ANCASH,3,1
20600044207,2022,ANCASH,1,2
20600095936,2022,ANCASH,2,1
20600140893,2022,ANCASH,1,1
20600180771,2022,ANCASH,1,2
20600194420,2022,ANCASH,1,1
20600253027,2022,ANCASH,1,1
20600285956,2022,ANCASH,1,1
20600309481,2022,ANCASH,1,1
20600403207,2022,ANCASH,1,1
20600454693,2022,ANCASH,1,1
20600459211,2022,ANCASH,1,1
20600683650,2022,ANCASH,1,2
20600770226,2022,ANCASH,1,1
20600805348,2022,ANCASH,1,1
20601050987,2022,ANCASH,1,1
20601485088,2022,ANCASH,3,1
20601568561,2022,ANCASH,2,1
20601649161,2022,ANCASH,1,2
20601994322,2022,ANCASH,1,1
20602002285,2022,ANCASH,1,1
20602406939,2022,ANCASH,1,1
20602691528,2022,ANCASH,1,1
20602797016,2022,ANCASH,1,1
20603096763,2022,ANCASH,1,1
20603321309,2022,ANCASH,1,1
20603354185,2022,ANCASH,2,1
20603373945,2022,ANCASH,1,1
20603432224,2022,ANCASH,1,1
20604129240,2022,ANCASH,1,1
20604155828,2022,ANCASH,1,1
20604803595,2022,ANCASH,1,1
20605106910,2022,ANCASH,1,1
20605233083,2022,ANCASH,2,1
20605308423,2022,ANCASH,2,1
20605432477,2022,ANCASH,1,1
20607764621,2022,ANCASH,1,1
20607925136,2022,ANCASH,1,1
20607977454,2022,ANCASH,1,1
20608495267,2022,ANCASH,1,1
20608582801,2022,ANCASH,1,1
20609991969,2022,ANCASH,1,1
20527814261,2022,APURIMAC,1,1
20564340384,2022,APURIMAC,1,1
20101884407,2022,AREQUIPA,1,2
20447714036,2022,AREQUIPA,1,1
20447909716,2022,AREQUIPA,1,1
20454785992,2022,AREQUIPA,1,1
20456315918,2022,AREQUIPA,1,1
20551773923,2022,AREQUIPA,1,1
20571505488,2022,AREQUIPA,1,1
20574662517,2022,AREQUIPA,1,1
20604675198,2022,AREQUIPA,2,1
20102008066,2022,AYACUCHO,1,1
20144691173,2022,AYACUCHO,1,3
20489517320,2022,AYACUCHO,1,2
20489536979,2022,AYACUCHO,1,3
20494226287,2022,AYACUCHO,1,1
20494397090,2022,AYACUCHO,1,1
20517562158,2022,AYACUCHO,1,2
20517623394,2022,AYACUCHO,1,3
20527026238,2022,AYACUCHO,1,1
20528917951,2022,AYACUCHO,1,2
20534576146,2022,AYACUCHO,1,1
20534604701,2022,AYACUCHO,1,1
20534714981,2022,AYACUCHO,1,1
20574605980,2022,AYACUCHO,1,1
20574750301,2022,AYACUCHO,1,2
20600239598,2022,AYACUCHO,1,1
20601143021,2022,AYACUCHO,1,2
20355337619,2022,CAJAMARCA,1,2
20439586665,2022,CAJAMARCA,1,1
20453649840,2022,CAJAMARCA,1,1
20495751229,2022,CAJAMARCA,1,1
20495865747,2022,CAJAMARCA,1,1
20495999352,2022,CAJAMARCA,2,1
20529626330,2022,CAJAMARCA,1,1
20529698918,2022,CAJAMARCA,1,2
20535757811,2022,CAJAMARCA,1,1
20554659242,2022,CAJAMARCA,1,1
20560107006,2022,CAJAMARCA,1,1
20600044207,2022,CAJAMARCA,1,2
20601525594,2022,CAJAMARCA,1,1
10086203753,2022,CALLAO,1,1
10232487149,2022,CALLAO,1,1
20173126345,2022,CALLAO,1,1
20232650444,2022,CALLAO,1,3
20379560742,2022,CALLAO,1,1
20451738284,2022,CALLAO,1,1
20478169559,2022,CALLAO,2,1
20486960401,2022,CALLAO,1,4
20493043073,2022,CALLAO,2,1
20501581951,2022,CALLAO,1,1
20503953839,2022,CALLAO,1,1
20508794968,2022,CALLAO,1,1
20517623394,2022,CALLAO,1,3
20547097069,2022,CALLAO,1,3
20553453845,2022,CALLAO,1,1
20553668027,2022,CALLAO,1,1
20600655095,2022,CALLAO,1,1
20603613474,2022,CALLAO,1,1
20607284033,2022,CALLAO,1,1
20451624432,2022,CUSCO,1,1
20452440912,2022,CUSCO,1,2
20490197771,2022,CUSCO,1,1
