id_contrato,ruc,gore,fecha,anio,monto_contrato
3395,20523070071,JUNIN,19/10/2021,2021,7073020.9
3391,20528901361,JUNIN,29/10/2021,2021,17054300.53
3391,20529166151,JUNIN,29/10/2021,2021,17054300.53
3388,20541462644,JUNIN,15/11/2021,2021,702946.07
3390,20568071876,JUNIN,08/11/2021,2021,1120500.0
3397,20568112220,JUNIN,29/09/2021,2021,9112696.98
3398,20568223307,JUNIN,09/08/2021,2021,20383418.31
3392,20568437528,JUNIN,28/10/2021,2021,1228307.91
3392,20568535376,JUNIN,28/10/2021,2021,1228307.91
3390,20568838352,JUNIN,08/11/2021,2021,1120500.0
3388,20568992351,JUNIN,15/11/2021,2021,702946.07
3383,20574732400,JUNIN,30/12/2021,2021,3423667.13
3386,20600683650,JUNIN,29/11/2021,2021,11091790.43
3383,20602262201,JUNIN,30/12/2021,2021,3423667.13
3387,20602979173,JUNIN,26/11/2021,2021,121753631.44
3384,20602979173,JUNIN,29/12/2021,2021,128077221.59
3400,20604269009,JUNIN,14/04/2021,2021,67245585.16
3389,20604384002,JUNIN,09/11/2021,2021,1330544.75
3805,10266854892,LA LIBERTAD,19/05/2021,2021,34648304.19
3796,20121907608,LA LIBERTAD,29/12/2021,2021,609345.62
3797,20134483611,LA LIBERTAD,28/12/2021,2021,2241060.06
3795,20453649840,LA LIBERTAD,29/12/2021,2021,717884.06
3807,20477150242,LA LIBERTAD,11/05/2021,2021,11031463.21
3799,20477458883,LA LIBERTAD,18/10/2021,2021,1396115.72
3802,20477460357,LA LIBERTAD,23/08/2021,2021,2057620.2
3798,20477617434,LA LIBERTAD,18/10/2021,2021,17308704.11
3804,20481813841,LA LIBERTAD,25/05/2021,2021,7682448.73
3810,20482206574,LA LIBERTAD,01/04/2021,2021,526883.03
3801,20489304687,LA LIBERTAD,13/09/2021,2021,3128538.23
3806,20495865747,LA LIBERTAD,17/05/2021,2021,2869921.71
3805,20495934498,LA LIBERTAD,19/05/2021,2021,34648304.19
3808,20501430669,LA LIBERTAD,07/04/2021,2021,12596739.28
3809,20501430669,LA LIBERTAD,07/04/2021,2021,14746308.36
3800,20504553516,LA LIBERTAD,15/09/2021,2021,1564363.28
3800,20529440074,LA LIBERTAD,15/09/2021,2021,1564363.28
3806,20529656751,LA LIBERTAD,17/05/2021,2021,2869921.71
3797,20529656751,LA LIBERTAD,28/12/2021,2021,2241060.06
3805,20529688017,LA LIBERTAD,19/05/2021,2021,34648304.19
3802,20531750749,LA LIBERTAD,23/08/2021,2021,2057620.2
