DEPARTAMENTO,FECHA,EMPRESA_1,EMPRESA_2,EMPRESA_3,EMPRESA_4,EMPRESA_5,EMPRESA_6,EMPRESA_7,EMPRESA_8,EMPRESA_9,MONTO
AMAZONAS,14/07/2020,20479683728,20480052090,20602371442,,,,,,,"223,133,642.43"
AMAZONAS,23/06/2020,20270971891,10167681978,,,,,,,,"5,004,937.29"
AMAZONAS,11/03/2020,20602371442,20480052090,,,,,,,,"82,168,819.24"
AMAZONAS,19/05/2022,20479790303,,,,,,,,,"1,758,745.66"
AMAZONAS,01/03/2022,20450326713,,,,,,,,,"3,458,000.00"
AMAZONAS,28/02/2022,20480391200,20480811934,,,,,,,,"2,229,161.77"
AMAZONAS,28/02/2022,20528217461,20605899227,,,,,,,,"1,977,707.25"
AMAZONAS,10/11/2021,20136318323,20487909336,,,,,,,,"227,921.40"
AMAZONAS,29/10/2021,20604451648,20534166240,,,,,,,,"1,694,543.35"
AMAZONAS,28/10/2021,20602698409,20480774397,,,,,,,,"3,672,791.92"
AMAZONAS,28/10/2021,20561152005,20479683728,,,,,,,,"2,947,476.22"
AMAZONAS,15/10/2021,20479790303,20539201281,,,,,,,,"2,229,161.77"
AMAZONAS,13/10/2021,20539273605,20539201281,,,,,,,,"626,250.00"
AMAZONAS,01/10/2021,20561152005,20600542525,,,,,,,,"1,587,565.42"
AMAZONAS,24/09/2021,20487499685,20480791305,,,,,,,,"1,230,844.17"
AMAZONAS,16/09/2021,20480791305,,,,,,,,,"1,295,764.01"
AMAZONAS,16/09/2021,20487611191,20600147600,,,,,,,,"1,618,708.39"
AMAZONAS,16/09/2021,20480836252,20542271834,,,,,,,,"4,752,590.00"
AMAZONAS,14/09/2021,20450326713,,,,,,,,,"8,518,000.00"
AMAZONAS,08/09/2021,20450157008,20604115923,,,,,,,,"704,787.28"
AMAZONAS,03/09/2021,20480836252,20487499685,,,,,,,,"4,331,250.27"
AMAZONAS,17/08/2021,20480836252,,,,,,,,,"2,650,000.00"
AMAZONAS,13/08/2021,20604775010,20480427913,,,,,,,,"562,199.96"
AMAZONAS,12/08/2021,20539273605,20539201281,,,,,,,,"626,250.00"
AMAZONAS,20/07/2021,20450326713,20542312450,,,,,,,,"2,779,000.00"
AMAZONAS,15/06/2021,20477530665,20600798937,,,,,,,,"8,319,581.09"
AMAZONAS,28/04/2021,20450326713,20494079713,,,,,,,,"13,730,000.00"
AMAZONAS,01/02/2021,20539016629,,,,,,,,,"241,494.14"
